userName;score;at;content;;
Bangwir;1;16/10/2024 07.40;Masih terdapat bug pada tema gelap, dm ig aneh, tidak bisa pause video reels, musik di profil ig saya suka menghilang;;
Gina Gino;5;16/10/2024 07.32;Ini aku baru dowload lagi instagram nya, aku dah lama dowload instagram tapi ko gk bisa buka filter;;
Pangkalan Gito;5;16/10/2024 07.24;Menakjubkan;;
Dedi Suhendra;1;16/10/2024 07.14;Saya kasih bintang 1, apk nya jelek banget. Masak dari jutaan manusia gak ada yg dm saya😏;;
Dewi Setiawati;5;16/10/2024 07.09;Ini sangat bagus,,dan sangat mudah dan membantu semua berkomunikasi dan mengenal semuanya;;
Raissa Putri apriliani 123;2;16/10/2024 07.09;ada mslh teknis;;
Al Fais Rohman;5;16/10/2024 07.08;𝐊𝐄𝐑𝐄𝐍;;
JUSTIN HAREFA;5;16/10/2024 07.05;Ulasan yang baik buat apk ini;;
Tedy;5;16/10/2024 07.03;Good;;
Nora Riskina;1;16/10/2024 07.01;Saya rajin update IG supaya bisa mengikuti perkembangan fitur terbaru. Tapi baru-baru ini kok suka nge Bug gak jelas. Nge lag gak jelas. Gak bisa liat story dan postingan orang2 padahal jaringan internet lancar2 aja. Sudah uninstall dan install ulang berkali-kali tetap sama aja. Instagram ada masalah apa ya? Bikin kesel dan malas buka ig jadinya😩👎🏻;;
Kiki Febria (Kiki);2;16/10/2024 07.00;Kok gak ada foto di postingan sih, balikin dong;;
Ramadan;5;16/10/2024 06.59;Instagram ini berguna banget bisa menulusuri orang dari luar sana misal nya teman kita bisa bales pesan dari jauh;;
RANDI RANDI;5;16/10/2024 06.57;Sangat berguna bagi saya..;;
sanusi Muhammad;5;16/10/2024 06.56;Nice Apk;;
Widi AriskQi;5;16/10/2024 06.55;Terbaik;;
Andi Saepul;5;16/10/2024 06.51;Mantap poll;;
Rinaldi Damanik;5;16/10/2024 06.50;Sangat cocok untuk Anda;;
Riko Inderson;1;16/10/2024 06.49;Semakin buruk Update story sampai berjam-jam;;
Aditya Pratama;5;16/10/2024 06.48;Tidak biasa melihat vidio+foto;;
