userName;score;at;content;;
Alyika Kama;1;14/10/2024 18.25;Terlalu banyak iklan Tolong iklan judi online dihilangkan Iklan judi online semakin banyak Hampir keseluruhan iklan , semua judi online;;
Yayuk yaya;5;14/10/2024 18.23;Sangat baik, akun saya jangan di tangguh kan lagi yak;;
Je Story;5;14/10/2024 18.18;suka. Bagus. Update dgn fitur² terbaru donk;;
Ayyub Nurdin;3;14/10/2024 17.57;Kenapa postingan video saya sebagian di freeze/tidak bisa diputar dan menjadi gambar. Tolong disediakan fitur mengganti musik di postingan, apalagi kalau audio tidak tersedia lagi bisa diganti. Musik di profil tidak muncul;;
PT Putra Ramadan Farm;1;14/10/2024 17.51;Banyak bug nya sekarang;;
Indah Rosyida;5;14/10/2024 17.49;Eror nemen bro;;
Sky Lord;1;14/10/2024 17.45;SOROTAN IG KNP DI HAPUS SII KENANGAN GUEE HILANGGGG;;
Aku;1;14/10/2024 17.41;makin kesini makin kg jelas, aplikasi makin rusak kebanyakan bug;;
Seyra Syah fitri;5;14/10/2024 17.40;baguss cuman ig sya gk bisa live;;
charunnisa utami;3;14/10/2024 17.36;apknya bermasalh kah?;;
Satriya Lokeswara;2;14/10/2024 17.35;woi ig lu gimana si jaringan gua lancar buka app lain lancar masa lu kaga, gimana si?, gua cek updatean ga ada, bikin sg liat sg liat sorotan liat postingan ga bisa, apaan si gitu?;;
m.akhsan n;1;14/10/2024 17.35;Banyak bug;;
Rama Radyansah;1;14/10/2024 17.35;ini kenapa setiap saya buka messenger ig ko selalu suruh update ya, padahal udaa gaada update an;;
Najmudin rosyid anna'afi;1;14/10/2024 17.32;perbaiki bug/kesalahan, dengarkan kritik dan saran, dan tingkatkan pelayanan.;;
Qaiman Bil;1;14/10/2024 17.31;EROR MULU BABBBIII!!!;;
Ahmad Arip;1;14/10/2024 17.29;Bug mulu!!!;;
kezia michaelia;1;14/10/2024 17.28;aplikasinya makin buruk. kalau loading lama banget pdahal kuota lancar banget. kenapa si makin hri makin ngebug? kalau pas dibuka, itu juga lama banget. instagram tolong diperbaiki lagi ya.;;
Sri Hartati;5;14/10/2024 17.18;Keren;;
Mukti Purwanto (Buna Bun);5;14/10/2024 17.11;Membantu;;
Dr. H. Novri Ompusunggu; SH.;MH;5;14/10/2024 17.02;Baik
Andika Hidayat;5;14/10/2024 17.01;Mantap;;
iLham mumtaz Kurniawan;5;14/10/2024 16.53;Baik;;
Oschar Idel;5;14/10/2024 16.50;baguss;;
Rifkybudi RBS;4;14/10/2024 16.47;Selain tempat hiburan. Bisa menyalurkan aspirasi dan mencari refrensi ide ide kreatif;;
Jejen Maullana;5;14/10/2024 16.41;Aslamualsikum;;
Abong Rian79;5;14/10/2024 16.41;The best;;
Rudi Hermawan;5;14/10/2024 16.41;Good;;
Syaha Digo;5;14/10/2024 16.40;Ok;;
Yuliana Yuliana;5;14/10/2024 16.28;Pengalaman pakai aplikasi Instagram ini bagus banyak teman dari berbagai kota👍👍👍;;
Alo Awak;5;14/10/2024 16.26;lnstagram;;
Afiev Saefuddin;1;14/10/2024 16.26;Saya berkomemtar dengan kata indon. Kenapa akun saya tidak bisa dibuka beberapa hari kedepan? Itu bukan untuk hinaan.;;
Kausar Aprilis;1;14/10/2024 16.24;Buruk lemot;;
Muhammad Hasan;5;14/10/2024 16.20;Ok;;
Agam Artileriansyah;5;14/10/2024 16.18;Instagram adalah sosial media yang sangat diminati semua manusia,i love instagram;;
Aho Setiawan;5;14/10/2024 16.18;Bagussss;;
Fian Pepitho;3;14/10/2024 16.11;Bagus;;
23_0418_ Egi_Seno_Aji;1;14/10/2024 16.09;Mohon maaf kok pas repost story suaranya hilang ya? Tolong perbaiki;;
Dery Aliyandry;2;14/10/2024 16.02;Masih pusing ga kaya fb;;
mustamik tamik;5;14/10/2024 16.02;Bagus banget;;
Atr Tel;5;14/10/2024 16.01;Bagus;;
Marito Sawitri Delila Simanjuntak;1;14/10/2024 15.59;banyak bug. repost igs orang tapi gada sound dan gabisa nambahin sound manual. but, thanks atas fitur-fitur Instagram yang sangat membantu. terutama arsip story, jadi jangan pernah ngilangin fitur itu. terima kasih.;;
Gema Aidil;5;14/10/2024 15.51;Apk sangat cangih;;
Mustofa;5;14/10/2024 15.50;Ok;;
Boy Zainudin;4;14/10/2024 15.50;Bolehlah.....;;
MOHAMAD ADRI;4;14/10/2024 15.45;waw👍👍✌️;;
Roni Ramdani;5;14/10/2024 15.44;Ok;;
Gustaman Gustaman;5;14/10/2024 15.42;Good;;
Puriyawan Puriyawan;5;14/10/2024 15.41;Apiiiik;;
Ahmedz Moestaciem;5;14/10/2024 15.39;Hebat, sepadan whatsapp dan FB;;
heryhsbsy Anjai;5;14/10/2024 15.39;Terbaik;;
LukiAriawan Ariawan;5;14/10/2024 15.37;Sangat bagus sekali;;
Suhaeri Kowoo;1;14/10/2024 15.34;Setuju;;
Dedy Rapael;1;14/10/2024 15.31;Tolong tingkatkan kualitas video/foto nya;;
Arii Private Account;1;14/10/2024 15.29;TOLONG BUG TIDAK BISA SIARAN LANGSUNG DI PERBAIKI SEGERA!!!;;
Awia Finolong;5;14/10/2024 15.27;Sangat bagus..;;
Mmh Ika;5;14/10/2024 15.22;Saya senang menggunakan Instagram;;
Abdul rohim;5;14/10/2024 15.14;Mantul;;
Gabril Sambouw;5;14/10/2024 15.13;👍👍👍🙏🙏🙏;;
syah maulana;5;14/10/2024 15.07;Ok;;
Umar Umar;5;14/10/2024 15.05;Bagus karena Saya bisa chat ayang saya;;
Iwan Purminal;5;14/10/2024 15.02;Bagus;;
alvia yusviana;1;14/10/2024 15.02;Kenapa tiba2 logout sendiri dan tidak bisa login;;
Deri riski Arrahman;3;14/10/2024 14.59;eror mulu;;
Mila Hidayah;1;14/10/2024 14.58;Aplikasi gak berguna, sering ngeblak , sering ngebug juga, sering keluar sendiri , sering membatasi komentar, story ,reels , beranda juga. Dan kalo mau upload vidio benar2 lamaaaaaa bangett , Kenapa nyebelin bangettt sih Instagram. Sangat mengecewakan!!!!;;
Ica Caca;5;14/10/2024 14.55;fitur arsip story jangan dibilangin plisss;;
Rang Batak kau;1;14/10/2024 14.54;apakah Anda sedang mengintip akun kami? terus dari mana anda tau kalau yang saya lakukan di Instagram?;;
sudarminto sudarminto;5;14/10/2024 14.51;Bagus;;
dyah darminto;2;14/10/2024 14.46;saya upload di sg tapi ga muncul di arsipan, tolong di perbaiki lagi;;
Nurhasani 1;5;14/10/2024 14.44;Saya suka dengan ada nya instagram;;
Feri Force;5;14/10/2024 14.44;Semakin keren;;
Erill Aerilll;5;14/10/2024 14.41;mantapp;;
Ray acung;1;14/10/2024 14.41;Ig saya tiba2 di non aktifkan;;
Reyfa Dwisetiardi;3;14/10/2024 14.41;tolong perbaiki bug ketika ingin mengganti foto highlight saat saya ingin mengganti itu sangat lama sekali;;
Abdul Karim;5;14/10/2024 14.39;aplikasinya kdang' gimana gitu;;
Ridwan Shadila123;5;14/10/2024 14.38;Terbaik;;
Nazmy Haurifin169;1;14/10/2024 14.38;fyp nya nguawor rek. saya mau konten berkualitas, bukan konten bapak bapak dengan curhatnya, bukan konten yang 0 like 0 commen. tolong dibenerin lah itu algoritma fyp nya;;
EnzZ;5;14/10/2024 14.38;My phone has been restarted and I want to create a new account but I can't and then an error occurs, please fix it🙏🏻;;
Akun Lama;1;14/10/2024 14.37;waya e waya e;;
budiharto krisnoto;5;14/10/2024 14.36;Good;;
Ando Prastiyo;5;14/10/2024 14.36;Baik;;
Hilal Alkahfi;1;14/10/2024 14.35;instagram sekarang error masak g bsa buat dm an;;
Yongki Ban;5;14/10/2024 14.27;Ahaha;;
Jamal Abdullah;5;14/10/2024 14.23;Puas nontonya;;
Intox2009 Indra to;5;14/10/2024 14.23;Instagram terbaik💯;;
Galang Joanda;1;14/10/2024 14.22;UpDate :;;
Muhammad Syifa;5;14/10/2024 14.22;Aplikasi nyaa bagusss sayaaa kasii bintanggg 5;;
deva sri rahayu;5;14/10/2024 14.12;Mantoppppp;;
Wawan Ssuratman;5;14/10/2024 14.08;Oke;;
Rina Jayusman;4;14/10/2024 14.05;Please improve the quality of uploading videos and photos on my device! it looks bad on other devices. Thanks.;;
Ahmad Fadli;5;14/10/2024 14.03;manatap sip;;
Saiful;5;14/10/2024 14.02;😘;;
Liza 80;5;14/10/2024 13.58;Good aplikasi Sangat menyenangkan Menggunakan aplikasi instagram;;
Bang EL zein;4;14/10/2024 13.57;Sangat menarik;;
Xena Manurung;5;14/10/2024 13.57;Sangat bagus aplikasi nya 👍🏻;;
Muja Ajiz;1;14/10/2024 13.53;Ig lol ga bisa login anjg;;
Arta Indah;5;14/10/2024 13.48;Sangat penting untuk saya;;
Riki Pratama;5;14/10/2024 13.47;Bagus sih aku kasih bintang lima;;
Wahyu Din;1;14/10/2024 13.45;seru;;
Najmi Aulia;4;14/10/2024 13.44;baik dan banyak belajar tentang agama..terimaksih;;
Andik Alfatah;5;14/10/2024 13.42;Top;;
nadea tsabilla;5;14/10/2024 13.42;Bagussss bangettt jopppo;;
Adi Permata;5;14/10/2024 13.37;Sangat membantu sekali;;
Yotias polona;4;14/10/2024 13.35;Good;;
Luthfi Afifia Ruba;5;14/10/2024 13.33;tolong fitur arsip jangan dihapus;;
Endrawati Burhan;5;14/10/2024 13.32;sangat bagus;;
RISKI ADITYA ADITYA;5;14/10/2024 13.31;Bagus;;
Pak Deni;4;14/10/2024 13.27;Bagus untuk koneksi dengan teman yg sulit dicari;;
Diana Rose;4;14/10/2024 13.25;Cukup baik;;
SangFajar Agustian;1;14/10/2024 13.24;Tahii;;
Ziano Pros;1;14/10/2024 13.23;wowwwww dadarrrr biadappp, luuu kalokk ngasihh notipp sarann polow jangann adaa diaaa, biadapp manusiaa satuu ituu dasarr apk gajelass, gww hapuss luuu;;
Ihsan Ramadhan;5;14/10/2024 13.22;Wahhh bagus bangett Semangat mengembangkan aplikasi nya;;
fitri dwiyani;5;14/10/2024 13.21;Bagus;;
Lia Akmalia;2;14/10/2024 13.16;bug saat mengumpan draf postingan dan pas di edit;;
Fajar Daniel;1;14/10/2024 13.15;Saya sangat butuh fitur history tontonan plsss 🙏;;
Acer asgar;3;14/10/2024 13.14;Bagus baget;;
Asriga Erdi Leba;5;14/10/2024 13.10;Folowersku sering berkurang ngak tau kenapa 😴;;
Ekasari Mardiyanti;5;14/10/2024 13.09;Good;;
Riska Amelia;5;14/10/2024 13.08;Saya kasih Bintang 5, walaupun bnyk bug, saya sadar diri klo saya ga bakal bisa buat aplikasi ini😫;;
Chalista Putri;5;14/10/2024 13.06;Singkat,padat,jelas enak bangettt🙏😅🤭🤣🤣🤣🤣🤣🤣🤣🤣;;
Riski Maulana;3;14/10/2024 13.03;tolong benerin bug sg nya min,pas memposting ulang, kadang lagu nya hilang;;
neneng levie;5;14/10/2024 13.00;👍👍👍;;
Dandi Suhendra;1;14/10/2024 12.55;setalah di update akun saya malah kena tangguhkan. padahal tidak melanggar hak apapun dari Instagram. entah ini emang bug atau apa udah disuruh tunggu 2 hari, sampai sekarang belum bisa diakses sama sekali.;;
Dika Official;5;14/10/2024 12.54;Memudahkan untuk menemukan teman jauh;;
